               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.043703,            0.012047,                   0,             0.80653,             0.72109,             0.76293,             0.28534,            0.045052,           0.0083871,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.043205,            0.011745,                   0,             0.91089,             0.79592,             0.84452,              0.3568,            0.041808,           0.0078382,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.042855,            0.010999,                   0,             0.87617,             0.78231,             0.84844,             0.35964,            0.042214,           0.0076356,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.042146,            0.011355,                   0,             0.86835,              0.8077,              0.8451,             0.38303,            0.041936,           0.0076271,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.043679,            0.011789,                   0,             0.70388,             0.64682,             0.66916,             0.28372,            0.047896,           0.0088235,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.04234,            0.012034,                   0,             0.83842,             0.81186,             0.84573,              0.3899,            0.041801,           0.0075335,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.041383,            0.011814,                   0,             0.79848,             0.78231,             0.80547,             0.35604,            0.041493,           0.0075578,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.041417,            0.011645,                   0,             0.83111,             0.83691,             0.85986,             0.40023,            0.040763,           0.0074287,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.040431,            0.011174,                   0,             0.83164,              0.7729,             0.81722,             0.36331,            0.042124,           0.0075659,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.041796,            0.011475,                   0,             0.86635,             0.74967,             0.83738,             0.37209,            0.041609,           0.0077999,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.041171,            0.011471,                   0,             0.85777,             0.82993,             0.85945,              0.3989,            0.040724,            0.007398,                   0,            0.002872,            0.002872,            0.002872
